Date : 2023-12-04 20:12:45
Directory : c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker
Total : 92 files,  11329 codes, 221 comments, 524 blanks, all 12074 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\common\Loader                                                                                                            |          1 |          9 |          0 |          3 |         12 |
| src\common\NotFound                                                                                                          |          2 |         47 |          0 |          5 |         52 |
| src\common\ReviewModal                                                                                                       |          3 |        225 |          6 |         24 |        255 |
| src\common\StarRating                                                                                                        |          3 |        106 |          4 |         10 |        120 |
| src\modules                                                                                                                  |         42 |      1,640 |        158 |        240 |      2,038 |
| src\modules\auth                                                                                                             |         12 |        619 |         11 |         73 |        703 |
| src\modules\auth\components                                                                                                  |          7 |        539 |          9 |         58 |        606 |
| src\modules\auth\components (Files)                                                                                          |          3 |         68 |          5 |         18 |         91 |
| src\modules\auth\components\Login                                                                                            |          2 |        188 |          1 |         20 |        209 |
| src\modules\auth\components\SignUp                                                                                           |          2 |        283 |          3 |         20 |        306 |
| src\modules\auth\hooks                                                                                                       |          5 |         80 |          2 |         15 |         97 |
| src\modules\booksList                                                                                                        |         15 |        405 |         66 |         68 |        539 |
| src\modules\booksList\components                                                                                             |          7 |        264 |         44 |         42 |        350 |
| src\modules\booksList\components (Files)                                                                                     |          3 |        143 |         37 |         24 |        204 |
| src\modules\booksList\components\MiniNav                                                                                     |          2 |         75 |          5 |         12 |         92 |
| src\modules\booksList\components\Review                                                                                      |          2 |         46 |          2 |          6 |         54 |
| src\modules\booksList\hooks                                                                                                  |          6 |        126 |         22 |         24 |        172 |
| src\modules\booksList\utils                                                                                                  |          2 |         15 |          0 |          2 |         17 |
| src\modules\booksSearch                                                                                                      |          4 |        163 |         32 |         25 |        220 |
| src\modules\booksSearch\components                                                                                           |          3 |        143 |         28 |         21 |        192 |
| src\modules\booksSearch\components (Files)                                                                                   |          1 |         17 |         12 |          5 |         34 |
| src\modules\booksSearch\components\BookDetails                                                                               |          2 |        126 |         16 |         16 |        158 |
| src\modules\booksSearch\hooks                                                                                                |          1 |         20 |          4 |          4 |         28 |
| src\modules\home                                                                                                             |          7 |        211 |         49 |         48 |        308 |
| src\modules\home\components                                                                                                  |          7 |        211 |         49 |         48 |        308 |
| src\modules\home\components (Files)                                                                                          |          3 |         75 |         35 |         21 |        131 |
| src\modules\home\components\Home                                                                                             |          2 |         62 |         10 |         17 |         89 |
| src\modules\home\components\SearchResultItem                                                                                 |          2 |         74 |          4 |         10 |         88 |
| src\modules\settings                                                                                                         |          4 |        242 |          0 |         26 |        268 |
| src\modules\settings (Files)                                                                                                 |          2 |         88 |          0 |         11 |         99 |
| src\modules\settings\UpdatePasswordForm                                                                                      |          2 |        154 |          0 |         15 |        169 |
| src\services                                                                                                                 |          5 |        293 |          8 |         50 |        351 |
| src\services\googleBooks                                                                                                     |          2 |         59 |          4 |          8 |         71 |
| src\services\supabase                                                                                                        |          3 |        234 |          4 |         42 |        280 |
| src\types                                                                                                                    |          1 |         69 |          0 |          2 |         71 |
| src\utils                                                                                                                    |          3 |        251 |          6 |          9 |        266 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                     | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\.eslintrc.cjs                                                          | JavaScript         |         19 |          0 |          1 |         20 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\.prettierrc.json                                                       | JSON               |          6 |          0 |          1 |          7 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\README.md                                                              | Markdown           |        310 |          6 |         89 |        405 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\index.html                                                             | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\package-lock.json                                                      | JSON               |      7,453 |          0 |          1 |      7,454 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\package.json                                                           | JSON               |         66 |          0 |          1 |         67 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\postcss.config.js                                                      | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\public\book.svg                                                        | XML                |         11 |          1 |          1 |         13 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\public\netlify.toml                                                    | TOML               |          4 |          0 |          0 |          4 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\App.test.tsx                                                       | TypeScript JSX     |         17 |          2 |          3 |         22 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\App.tsx                                                            | TypeScript JSX     |         23 |          0 |          5 |         28 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\Routes.tsx                                                         | TypeScript JSX     |         64 |          3 |          3 |         70 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\assets\react.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\ButtonOptions\ButtonOptions.test.tsx                        | TypeScript JSX     |        106 |          1 |          5 |        112 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\ButtonOptions\ButtonOptions.tsx                             | TypeScript JSX     |        131 |          4 |          8 |        143 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Button\Button.test.tsx                                      | TypeScript JSX     |         81 |          1 |         10 |         92 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Button\Button.tsx                                           | TypeScript JSX     |         37 |          0 |          7 |         44 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Error\Error.test.tsx                                        | TypeScript JSX     |         46 |          0 |          3 |         49 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Error\Error.tsx                                             | TypeScript JSX     |         18 |          1 |          4 |         23 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Layout\Header\Header.test.tsx                               | TypeScript JSX     |         75 |         12 |          7 |         94 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Layout\Header\Header.tsx                                    | TypeScript JSX     |         61 |          0 |          7 |         68 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Layout\Layout\Layout.test.tsx                               | TypeScript JSX     |         43 |          0 |          5 |         48 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Layout\Layout\Layout.tsx                                    | TypeScript JSX     |         21 |          0 |          4 |         25 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\Loader\Loader.tsx                                           | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\NotFound\NotFound.test.tsx                                  | TypeScript JSX     |         32 |          0 |          2 |         34 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\NotFound\NotFound.tsx                                       | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\ReviewModal\ModalProvider.tsx                               | TypeScript JSX     |         56 |          1 |          9 |         66 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\ReviewModal\ReviewModal.test.tsx                            | TypeScript JSX     |         80 |          4 |          7 |         91 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\ReviewModal\ReviewModal.tsx                                 | TypeScript JSX     |         89 |          1 |          8 |         98 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\StarRating\Star.tsx                                         | TypeScript JSX     |         46 |          0 |          3 |         49 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\StarRating\StarRating.test.tsx                              | TypeScript JSX     |         27 |          2 |          2 |         31 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\common\StarRating\StarRating.tsx                                   | TypeScript JSX     |         33 |          2 |          5 |         40 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\index.css                                                          | CSS                |          3 |          0 |          1 |          4 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\main.tsx                                                           | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\Login\Login.test.tsx                       | TypeScript JSX     |         95 |          1 |         12 |        108 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\Login\Login.tsx                            | TypeScript JSX     |         93 |          0 |          8 |        101 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\Logout.tsx                                 | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\ProtectedRoute.test.tsx                    | TypeScript JSX     |         40 |          0 |          7 |         47 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\ProtectedRoute.tsx                         | TypeScript JSX     |         17 |          5 |          8 |         30 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\SignUp\SignUp.test.tsx                     | TypeScript JSX     |        124 |          0 |         13 |        137 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\SignUp\SignUp.tsx                          | TypeScript JSX     |        159 |          3 |          7 |        169 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useLogin.ts                                     | TypeScript         |         24 |          1 |          4 |         29 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useLogout.ts                                    | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useSignUp.ts                                    | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useUpdateUser.ts                                | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useUser.ts                                      | TypeScript         |          9 |          1 |          3 |         13 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\BookList.tsx                          | TypeScript JSX     |         46 |          7 |          6 |         59 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\BookListPage.tsx                      | TypeScript JSX     |         44 |         12 |          8 |         64 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\BookPreview.tsx                       | TypeScript JSX     |         53 |         18 |         10 |         81 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\MiniNav\Mininav.test.tsx              | TypeScript JSX     |         51 |          1 |          7 |         59 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\MiniNav\Mininav.tsx                   | TypeScript JSX     |         24 |          4 |          5 |         33 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\Review\Review.test.tsx                | TypeScript JSX     |         19 |          2 |          2 |         23 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\Review\Review.tsx                     | TypeScript JSX     |         27 |          0 |          4 |         31 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useAddReview.ts                            | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useCategoriseBooks.ts                      | TypeScript         |         30 |          9 |          4 |         43 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useDropBook.ts                             | TypeScript         |         20 |          4 |          5 |         29 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useMarkBookAsRead.ts                       | TypeScript         |         20 |          3 |          4 |         27 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useMarkBookAsReading.ts                    | TypeScript         |         21 |          3 |          4 |         28 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useRemoveBookFromList.ts                   | TypeScript         |         20 |          3 |          4 |         27 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\utils\RenderStars.tsx                            | TypeScript JSX     |         11 |          0 |          1 |         12 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\utils\helpers.ts                                 | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksSearch\components\BookDetailsPage.tsx                 | TypeScript JSX     |         17 |         12 |          5 |         34 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksSearch\components\BookDetails\BookDetails.test.tsx    | TypeScript JSX     |         51 |          1 |          5 |         57 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksSearch\components\BookDetails\BookDetails.tsx         | TypeScript JSX     |         75 |         15 |         11 |        101 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksSearch\hooks\useMarkBookAsToRead.ts                   | TypeScript         |         20 |          4 |          4 |         28 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\Home\Home.test.tsx                         | TypeScript JSX     |         23 |          3 |          6 |         32 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\Home\Home.tsx                              | TypeScript JSX     |         39 |          7 |         11 |         57 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\Search.tsx                                 | TypeScript JSX     |         36 |         26 |         11 |         73 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\SearchBar.tsx                              | TypeScript JSX     |         21 |          5 |          5 |         31 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\SearchResultItem\SearchResultItem.test.tsx | TypeScript JSX     |         37 |          1 |          4 |         42 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\SearchResultItem\SearchResultItem.tsx      | TypeScript JSX     |         37 |          3 |          6 |         46 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\SearchResultList.tsx                       | TypeScript JSX     |         18 |          4 |          5 |         27 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\settings\Settings.tsx                                      | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\settings\UpdatePasswordForm\UpdatePasswordForm.test.tsx    | TypeScript JSX     |         61 |          0 |         10 |         71 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\settings\UpdatePasswordForm\UpdatePasswordForm.tsx         | TypeScript JSX     |         93 |          0 |          5 |         98 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\settings\UpdateUsernameForm.tsx                            | TypeScript JSX     |         69 |          0 |          7 |         76 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\googleBooks\apiGoogleBooks.test.ts                        | TypeScript         |         32 |          0 |          3 |         35 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\googleBooks\apiGoogleBooks.ts                             | TypeScript         |         27 |          4 |          5 |         36 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\supabase\apiAuth.ts                                       | TypeScript         |         67 |          3 |         15 |         85 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\supabase\apiBooks.ts                                      | TypeScript         |        162 |          0 |         24 |        186 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\supabase\supabase.ts                                      | TypeScript         |          5 |          1 |          3 |          9 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\setupTests.ts                                                      | TypeScript         |          1 |          1 |          1 |          3 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\types\supabase.ts                                                  | TypeScript         |         69 |          0 |          2 |         71 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\utils\helpers.test.ts                                              | TypeScript         |        224 |          4 |          5 |        233 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\utils\helpers.ts                                                   | TypeScript         |         18 |          2 |          3 |         23 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\utils\types.ts                                                     | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\vite-env.d.ts                                                      | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\tailwind.config.js                                                     | JavaScript         |         13 |          1 |          1 |         15 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\tsconfig.json                                                          | JSON with Comments |         22 |          2 |          3 |         27 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\tsconfig.node.json                                                     | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\vercel.json                                                            | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\vite.config.ts                                                         | TypeScript         |         16 |          3 |          3 |         22 |
| Total                                                                                                                        |                    |     11,329 |        221 |        524 |     12,074 |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
